voted_for,gender,race,birthyr,region
Biden,Female,White,30-44,NA
Biden,Male,White,> 64,West
Trump,Female,White,30-44,NA
Biden,Male,White,> 64,NA
Biden,Male,White,30-44,Midwest
Trump,Male,White,> 64,NA
Biden,Male,Black,30-44,West
Trump,Female,White,> 64,South
Biden,Female,White,30-44,Midwest
Trump,Male,White,> 64,Midwest
Trump,Female,White,> 64,Midwest
Trump,Female,White,> 64,West
Biden,Male,White,30-44,NA
Biden,Female,Hispanic,30-44,NA
Biden,Female,White,> 64,South
Biden,Female,White,18-29,West
Biden,Male,White,30-44,South
Biden,Male,Other,30-44,West
Trump,Male,White,> 64,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,> 64,South
Trump,Female,White,> 64,West
Biden,Male,White,30-44,West
Trump,Female,White,> 64,West
Trump,Female,White,30-44,West
Trump,Male,White,30-44,West
Biden,Female,Other,30-44,West
Biden,Male,White,30-44,South
Trump,Female,White,30-44,West
Biden,Male,White,30-44,South
Trump,Male,White,> 64,Midwest
Biden,Male,Other,> 64,West
Trump,Female,White,30-44,West
Trump,Male,White,30-44,Midwest
Trump,Female,White,30-44,NA
Biden,Female,White,> 64,South
Trump,Female,White,> 64,NA
Biden,Female,White,30-44,Midwest
Biden,Male,White,30-44,Midwest
Trump,Male,White,30-44,South
Biden,Male,White,30-44,South
Trump,Female,White,> 64,NA
Biden,Female,Other,30-44,South
Trump,Male,White,30-44,West
Biden,Female,White,> 64,West
Biden,Male,White,30-44,West
Trump,Female,White,30-44,West
Biden,Male,Hispanic,> 64,South
Trump,Male,White,30-44,South
Trump,Male,White,> 64,West
Biden,Female,White,> 64,West
Biden,Female,White,> 64,West
Trump,Male,White,> 64,South
Biden,Female,White,30-44,Midwest
Biden,Female,White,> 64,West
Trump,Male,White,> 64,West
Biden,Male,White,> 64,Midwest
Biden,Female,Black,30-44,South
Biden,Male,White,30-44,West
Trump,Female,White,> 64,West
Biden,Female,White,> 64,Midwest
Trump,Female,White,30-44,West
Biden,Female,White,30-44,South
Biden,Female,White,> 64,NA
Biden,Female,Hispanic,> 64,South
Biden,Female,White,> 64,Midwest
Trump,Female,White,30-44,Midwest
Biden,Female,White,30-44,Midwest
Trump,Male,White,30-44,South
Trump,Male,White,30-44,West
Biden,Female,White,30-44,West
Trump,Female,Hispanic,30-44,West
Biden,Male,White,30-44,Midwest
Trump,Female,White,30-44,South
Biden,Female,White,> 64,Midwest
Biden,Female,Asian,30-44,Midwest
Biden,Female,Other,> 64,West
Biden,Male,White,30-44,South
Biden,Male,Hispanic,> 64,South
Biden,Male,White,30-44,South
Biden,Male,White,30-44,West
Biden,Female,White,> 64,West
Trump,Male,White,30-44,South
Biden,Male,White,30-44,West
Trump,Male,Hispanic,30-44,West
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,NA
Biden,Female,White,> 64,NA
Biden,Female,White,30-44,South
Biden,Female,White,30-44,West
Trump,Male,White,30-44,South
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,Midwest
Biden,Female,White,30-44,Midwest
Trump,Male,White,30-44,West
Biden,Male,White,30-44,West
Trump,Male,White,30-44,West
Biden,Male,White,30-44,Midwest
Trump,Female,White,30-44,West
Biden,Female,White,30-44,Midwest
Biden,Male,White,30-44,Midwest
Trump,Male,White,30-44,South
Biden,Female,White,30-44,South
Biden,Male,Other,30-44,NA
Trump,Female,White,> 64,West
Biden,Female,White,> 64,Midwest
Biden,Female,Asian,30-44,Midwest
Biden,Female,White,18-29,West
Biden,Female,White,> 64,West
Biden,Male,White,30-44,Midwest
Trump,Female,White,30-44,South
Trump,Female,White,> 64,NA
Trump,Male,White,30-44,West
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,South
Trump,Male,White,> 64,Midwest
Trump,Female,White,30-44,Midwest
Trump,Male,White,30-44,West
Biden,Female,White,30-44,West
Biden,Male,White,18-29,South
Trump,Female,White,30-44,South
Trump,Male,White,> 64,Midwest
Trump,Male,White,30-44,Midwest
Biden,Female,White,> 64,Midwest
Trump,Female,White,> 64,Midwest
Trump,Male,White,> 64,Midwest
Biden,Female,White,18-29,NA
Biden,Female,White,30-44,South
Biden,Female,White,30-44,Midwest
Biden,Male,White,30-44,South
Trump,Female,White,> 64,Midwest
Biden,Female,White,30-44,West
Biden,Male,White,30-44,Midwest
Biden,Female,White,30-44,Midwest
Biden,Female,White,30-44,South
Biden,Male,White,30-44,South
Biden,Female,White,> 64,West
Biden,Male,Black,30-44,Midwest
Trump,Female,White,30-44,Midwest
Trump,Female,White,30-44,West
Trump,Female,White,> 64,South
Trump,Female,White,> 64,Midwest
Biden,Male,White,30-44,Midwest
Trump,Male,White,30-44,West
Biden,Male,White,> 64,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,30-44,West
Biden,Male,White,30-44,South
Biden,Female,White,30-44,West
Biden,Male,White,30-44,South
Trump,Male,White,30-44,West
Trump,Female,White,30-44,West
Biden,Female,Other,> 64,South
Trump,Male,White,30-44,South
Trump,Female,White,> 64,South
Biden,Male,White,30-44,West
Trump,Male,Hispanic,> 64,NA
Biden,Female,White,30-44,South
Biden,Male,White,30-44,Midwest
Biden,Female,White,> 64,West
Trump,Female,White,30-44,West
Trump,Male,White,30-44,West
Trump,Male,White,30-44,West
Trump,Female,Black,30-44,Midwest
Biden,Female,White,30-44,South
Biden,Male,White,30-44,Midwest
Biden,Female,White,30-44,NA
Biden,Female,White,30-44,West
Trump,Female,White,30-44,NA
Biden,Female,White,30-44,Midwest
Biden,Male,White,30-44,NA
Trump,Male,White,30-44,South
Trump,Female,White,30-44,South
Trump,Male,White,30-44,NA
Biden,Female,Black,30-44,West
Trump,Male,White,30-44,West
Biden,Female,White,18-29,West
Biden,Male,White,> 64,West
Biden,Female,Black,> 64,West
Biden,Female,White,30-44,South
Trump,Female,White,> 64,West
Trump,Female,White,30-44,West
Trump,Female,Other,30-44,Midwest
Biden,Male,White,30-44,West
Biden,Male,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,30-44,Midwest
Trump,Male,White,30-44,NA
Biden,Male,White,30-44,Midwest
Trump,Female,White,30-44,South
Biden,Male,White,18-29,South
Trump,Male,Hispanic,30-44,West
Biden,Female,White,30-44,Midwest
Biden,Female,Hispanic,30-44,NA
Trump,Female,White,30-44,South
Biden,Female,White,> 64,West
Trump,Male,White,30-44,Midwest
Trump,Male,White,30-44,Midwest
Trump,Female,White,30-44,West
Biden,Male,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Male,Hispanic,> 64,NA
Biden,Female,White,> 64,West
Biden,Female,White,> 64,Midwest
Trump,Male,White,30-44,West
Trump,Male,Other,30-44,Midwest
Biden,Female,White,18-29,Midwest
Trump,Male,White,30-44,Midwest
Biden,Female,White,30-44,South
Biden,Male,White,30-44,Midwest
Trump,Female,White,30-44,West
Trump,Female,White,30-44,South
Trump,Male,White,30-44,West
Biden,Male,White,30-44,Midwest
Trump,Female,White,> 64,South
Trump,Male,White,30-44,West
Biden,Male,White,30-44,Midwest
Biden,Female,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,30-44,West
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,South
Biden,Female,Black,30-44,South
Biden,Male,White,30-44,South
Biden,Male,White,30-44,West
Trump,Female,White,> 64,West
Trump,Female,White,30-44,South
Biden,Female,Hispanic,30-44,West
Biden,Male,Black,30-44,Midwest
Biden,Male,White,30-44,West
Biden,Male,White,30-44,South
Biden,Male,White,30-44,South
Trump,Male,White,30-44,West
Biden,Male,Other,30-44,West
Biden,Male,White,30-44,South
Trump,Male,White,30-44,West
Trump,Female,White,30-44,South
Biden,Female,White,30-44,Midwest
Biden,Male,White,30-44,Midwest
Biden,Female,White,30-44,West
Trump,Female,White,30-44,West
Biden,Female,Black,30-44,Midwest
Trump,Male,White,30-44,West
Trump,Male,White,30-44,Midwest
Trump,Male,White,30-44,Midwest
Biden,Female,White,30-44,Midwest
Biden,Female,Hispanic,30-44,West
Trump,Female,White,30-44,South
Trump,Male,White,> 64,South
Biden,Male,White,30-44,Midwest
Biden,Female,White,30-44,Midwest
Trump,Female,White,30-44,South
Trump,Female,White,> 64,West
Biden,Male,White,30-44,South
Biden,Female,Black,> 64,West
Trump,Female,Hispanic,30-44,West
Biden,Female,White,30-44,Midwest
Biden,Male,White,30-44,West
Trump,Female,White,> 64,West
Trump,Male,White,30-44,South
Biden,Female,White,30-44,West
Trump,Male,Other,30-44,West
Trump,Female,White,30-44,West
Trump,Female,White,> 64,NA
Trump,Male,White,30-44,South
Biden,Male,White,30-44,West
Biden,Female,White,30-44,Midwest
Biden,Male,White,30-44,Midwest
Trump,Male,White,30-44,Midwest
Trump,Female,White,30-44,South
Biden,Female,White,30-44,Midwest
Trump,Female,White,> 64,South
Biden,Male,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Male,Other,30-44,South
Biden,Female,White,> 64,South
Biden,Male,Hispanic,30-44,NA
Biden,Male,White,18-29,West
Biden,Female,White,30-44,West
Biden,Male,Asian,18-29,West
Biden,Male,White,30-44,West
Trump,Male,White,30-44,West
Biden,Female,White,30-44,West
Biden,Female,Black,30-44,West
Biden,Female,White,> 64,South
Trump,Male,Hispanic,30-44,West
Trump,Male,White,30-44,West
Biden,Female,White,18-29,Midwest
Trump,Male,White,30-44,NA
Trump,Female,White,30-44,South
Biden,Female,Black,30-44,West
Trump,Female,White,30-44,West
Trump,Female,White,30-44,West
Trump,Male,White,30-44,South
Trump,Male,Black,30-44,Midwest
Trump,Male,White,30-44,NA
Trump,Male,White,30-44,South
Biden,Female,White,30-44,West
Biden,Female,White,> 64,NA
Biden,Male,White,30-44,West
Trump,Female,White,> 64,Midwest
Trump,Male,White,30-44,Midwest
Biden,Female,White,18-29,West
Trump,Female,White,> 64,West
Biden,Male,White,> 64,Midwest
Trump,Female,White,30-44,Midwest
Biden,Female,White,30-44,West
Biden,Female,Black,> 64,Midwest
Trump,Female,White,30-44,Midwest
Biden,Female,Asian,30-44,West
Trump,Female,White,> 64,NA
Biden,Female,White,> 64,South
Trump,Male,White,> 64,West
Biden,Female,White,30-44,West
Trump,Female,Black,30-44,NA
Biden,Female,White,> 64,Midwest
Biden,Female,Hispanic,18-29,NA
Biden,Male,White,30-44,NA
Biden,Male,White,30-44,West
Biden,Male,White,30-44,Midwest
Biden,Female,White,> 64,NA
Trump,Female,White,30-44,West
Trump,Female,White,30-44,NA
Trump,Female,White,30-44,South
Trump,Male,White,30-44,Midwest
Trump,Female,White,30-44,West
Biden,Female,Hispanic,30-44,Midwest
Biden,Male,Black,30-44,West
Biden,Female,White,> 64,West
Biden,Male,Other,30-44,NA
Trump,Female,White,30-44,Midwest
Biden,Male,Hispanic,30-44,NA
Trump,Female,White,30-44,West
Trump,Female,White,30-44,West
Biden,Female,Black,30-44,NA
Trump,Male,White,> 64,West
Biden,Male,White,30-44,Midwest
Biden,Male,White,> 64,West
Biden,Female,White,> 64,South
Trump,Male,White,30-44,Midwest
Trump,Male,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Male,Hispanic,30-44,West
Biden,Female,White,30-44,West
Trump,Male,White,30-44,South
Trump,Male,White,30-44,South
Biden,Male,White,30-44,NA
Trump,Female,White,30-44,South
Biden,Male,White,30-44,West
Trump,Female,White,30-44,Midwest
Trump,Male,Other,30-44,West
Trump,Male,Hispanic,> 64,NA
Biden,Male,White,30-44,South
Trump,Female,White,30-44,West
Trump,Female,Other,30-44,South
Trump,Female,Other,30-44,West
Biden,Female,Other,30-44,NA
Trump,Male,White,30-44,South
Trump,Male,White,30-44,South
Trump,Female,White,30-44,NA
Biden,Male,White,30-44,West
Biden,Male,White,30-44,NA
Biden,Female,White,30-44,West
Trump,Male,Other,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,30-44,West
Trump,Male,Other,30-44,West
Trump,Female,White,> 64,West
Biden,Male,White,18-29,South
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,South
Biden,Female,White,> 64,West
Biden,Male,White,30-44,South
Biden,Male,White,30-44,West
Biden,Male,White,30-44,NA
Biden,Female,White,30-44,West
Biden,Female,White,30-44,South
Trump,Female,White,30-44,South
Biden,Female,White,30-44,Midwest
Biden,Male,White,> 64,West
Biden,Male,Hispanic,30-44,West
Biden,Female,Black,30-44,West
Biden,Female,Black,30-44,South
Trump,Male,Black,30-44,South
Trump,Female,Black,30-44,South
Trump,Male,White,30-44,NA
Trump,Female,White,30-44,Midwest
Trump,Female,White,> 64,Midwest
Biden,Female,White,30-44,Midwest
Biden,Female,White,30-44,NA
Biden,Female,White,30-44,Midwest
Biden,Female,White,30-44,Midwest
Biden,Male,Black,> 64,NA
Biden,Female,White,> 64,West
Trump,Female,White,30-44,West
Biden,Female,Black,> 64,Midwest
Biden,Female,Black,30-44,Midwest
Biden,Female,White,30-44,West
Biden,Female,White,30-44,West
Trump,Female,Asian,30-44,NA
Biden,Female,Other,30-44,South
Trump,Female,White,30-44,West
Biden,Female,White,30-44,Midwest
Biden,Female,Other,30-44,Midwest
Biden,Female,Hispanic,30-44,South
Trump,Female,Other,30-44,South
Biden,Male,White,30-44,Midwest
Biden,Female,Hispanic,30-44,West
Biden,Female,White,30-44,South
Trump,Male,White,30-44,West
Trump,Female,White,30-44,West
Trump,Male,Hispanic,30-44,West
Biden,Male,White,18-29,West
Trump,Female,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Male,White,> 64,Midwest
Trump,Male,White,30-44,West
Biden,Female,White,30-44,Midwest
Biden,Female,White,30-44,South
Trump,Male,White,30-44,West
Biden,Female,Black,30-44,West
Biden,Female,White,30-44,West
Trump,Male,White,18-29,NA
Biden,Female,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,30-44,West
Biden,Male,White,30-44,West
Trump,Male,White,30-44,NA
Trump,Male,White,18-29,South
Biden,Female,White,30-44,West
Trump,Female,Other,30-44,West
Biden,Female,White,30-44,West
Biden,Female,White,30-44,West
Biden,Female,White,30-44,West
Biden,Female,White,> 64,Midwest
Biden,Female,White,30-44,West
Trump,Male,White,> 64,West
Biden,Male,White,> 64,South
Biden,Female,Black,30-44,West
Biden,Female,White,30-44,South
Trump,Female,White,30-44,Midwest
Biden,Female,White,30-44,Midwest
Biden,Male,Black,30-44,Midwest
Trump,Male,Hispanic,30-44,South
Biden,Female,Hispanic,30-44,Midwest
Trump,Female,White,30-44,West
Trump,Female,White,30-44,South
Biden,Female,White,30-44,West
Biden,Female,Black,30-44,West
Biden,Male,Hispanic,18-29,Midwest
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,South
Trump,Female,White,> 64,South
Biden,Male,White,30-44,South
Trump,Male,Hispanic,30-44,Midwest
Biden,Male,White,30-44,West
Trump,Female,White,> 64,West
Trump,Male,White,30-44,Midwest
Trump,Male,White,> 64,West
Biden,Female,Other,30-44,West
Trump,Male,White,18-29,NA
Trump,Male,White,30-44,West
Biden,Female,Black,30-44,West
Trump,Male,White,30-44,West
Trump,Female,White,> 64,South
Biden,Female,White,30-44,West
Biden,Female,White,> 64,South
Trump,Female,White,30-44,South
Trump,Male,White,30-44,Midwest
Trump,Male,White,30-44,South
Trump,Female,Other,30-44,Midwest
Trump,Male,White,30-44,Midwest
Biden,Male,White,30-44,NA
Biden,Female,White,30-44,South
Biden,Female,White,30-44,West
Biden,Female,White,30-44,South
Biden,Female,Other,30-44,South
Trump,Female,White,30-44,West
Biden,Female,White,30-44,NA
Biden,Female,White,30-44,NA
Biden,Male,White,30-44,Midwest
Trump,Male,White,> 64,South
Biden,Male,White,> 64,West
Trump,Male,White,30-44,NA
Trump,Female,White,> 64,West
Biden,Male,Other,30-44,West
Trump,Female,White,30-44,Midwest
Biden,Female,White,> 64,West
Biden,Female,White,30-44,Midwest
Biden,Male,White,30-44,Midwest
Biden,Female,White,> 64,South
Trump,Female,White,30-44,NA
Biden,Female,Other,18-29,NA
Biden,Female,White,30-44,West
Trump,Female,White,30-44,West
Trump,Female,White,30-44,West
Trump,Male,White,> 64,West
Biden,Male,White,18-29,Midwest
Biden,Female,White,30-44,Midwest
Trump,Female,Hispanic,30-44,West
Biden,Female,Other,18-29,West
Biden,Male,Asian,30-44,South
Biden,Female,Black,30-44,South
Biden,Male,Black,30-44,South
Trump,Male,White,30-44,West
Trump,Male,White,30-44,Midwest
Trump,Female,White,> 64,South
Trump,Female,White,30-44,South
Trump,Male,White,> 64,South
Trump,Male,White,30-44,Midwest
Biden,Female,Black,30-44,West
Trump,Male,White,> 64,South
Trump,Male,White,30-44,NA
Biden,Female,White,30-44,South
Biden,Male,Black,30-44,Midwest
Biden,Female,White,30-44,NA
Trump,Female,White,> 64,South
Trump,Female,White,30-44,South
Trump,Female,White,30-44,West
Biden,Female,White,30-44,West
Trump,Male,White,> 64,NA
Biden,Female,White,30-44,Midwest
Trump,Male,White,> 64,West
Biden,Female,White,30-44,NA
Biden,Female,Hispanic,> 64,West
Trump,Male,White,30-44,South
Biden,Female,White,30-44,South
Trump,Female,Hispanic,30-44,NA
Trump,Male,White,30-44,South
Biden,Female,White,> 64,South
Biden,Female,White,30-44,West
Biden,Female,White,30-44,South
Biden,Female,White,30-44,South
Biden,Female,White,30-44,South
Trump,Male,White,> 64,NA
Biden,Female,White,18-29,West
Biden,Female,White,30-44,West
Trump,Male,Other,30-44,Midwest
Biden,Female,White,30-44,South
Biden,Male,White,30-44,South
Trump,Female,White,30-44,West
Trump,Male,White,> 64,South
Trump,Female,White,30-44,South
Trump,Female,White,30-44,West
Biden,Female,White,> 64,West
Biden,Female,White,> 64,NA
Biden,Male,White,30-44,South
Biden,Female,White,30-44,Midwest
Biden,Female,Black,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,30-44,South
Trump,Male,White,> 64,Midwest
Trump,Female,White,> 64,NA
Trump,Female,White,30-44,West
Biden,Female,White,18-29,West
Biden,Male,White,30-44,Midwest
Trump,Male,White,> 64,Midwest
Biden,Male,Black,30-44,NA
Biden,Male,White,30-44,South
Biden,Female,White,30-44,South
Biden,Female,Asian,30-44,South
Trump,Male,White,> 64,West
Biden,Male,White,> 64,NA
Trump,Female,Other,> 64,Midwest
Biden,Male,White,30-44,West
Trump,Male,White,> 64,South
Trump,Female,White,18-29,West
Trump,Male,White,> 64,West
Biden,Male,Black,30-44,West
Trump,Male,White,> 64,South
Trump,Male,White,> 64,South
Biden,Female,Black,> 64,South
Trump,Male,White,30-44,West
Biden,Female,White,> 64,NA
Biden,Male,Asian,18-29,South
Biden,Female,White,30-44,NA
Biden,Male,White,30-44,Midwest
Biden,Male,White,18-29,South
Trump,Female,White,30-44,NA
Biden,Male,White,30-44,Midwest
Trump,Male,White,30-44,West
Trump,Male,White,30-44,Midwest
Biden,Female,White,30-44,South
Biden,Female,White,30-44,South
Biden,Female,White,> 64,South
Trump,Female,White,18-29,West
Biden,Male,Black,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,> 64,NA
Biden,Female,Black,> 64,South
Trump,Female,White,30-44,Midwest
Biden,Male,White,30-44,Midwest
Trump,Female,Other,30-44,West
Biden,Male,White,30-44,West
Trump,Female,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,30-44,NA
Biden,Female,White,30-44,South
Trump,Female,White,> 64,Midwest
Biden,Female,Hispanic,30-44,West
Trump,Male,White,30-44,West
Biden,Female,White,30-44,West
Biden,Male,Black,30-44,Midwest
Biden,Male,Asian,18-29,West
Biden,Female,Black,30-44,West
Trump,Male,White,> 64,Midwest
Trump,Male,White,> 64,West
Biden,Male,Black,> 64,West
Trump,Female,White,30-44,West
Biden,Male,White,18-29,West
Biden,Male,White,30-44,NA
Trump,Female,White,30-44,South
Trump,Male,White,> 64,West
Trump,Female,Hispanic,> 64,NA
Biden,Female,White,30-44,South
Trump,Male,Hispanic,> 64,West
Biden,Female,White,30-44,West
Biden,Female,Hispanic,30-44,NA
Biden,Female,Hispanic,18-29,West
Trump,Male,White,> 64,South
Biden,Male,Black,30-44,Midwest
Biden,Male,White,> 64,Midwest
Biden,Female,Black,30-44,South
Biden,Male,Black,30-44,NA
Biden,Female,White,> 64,Midwest
Biden,Female,White,18-29,NA
Biden,Female,White,30-44,Midwest
Biden,Female,Hispanic,> 64,South
Biden,Female,White,30-44,Midwest
Biden,Female,White,18-29,Midwest
Biden,Female,White,30-44,Midwest
Trump,Male,White,> 64,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,> 64,South
Biden,Female,White,18-29,South
Trump,Female,White,30-44,West
Trump,Female,White,> 64,NA
Trump,Male,Hispanic,30-44,NA
Trump,Male,White,30-44,Midwest
Trump,Male,White,> 64,South
Biden,Female,White,30-44,West
Biden,Female,White,30-44,South
Trump,Female,White,> 64,West
Biden,Female,White,> 64,South
Biden,Male,White,30-44,South
Biden,Male,White,30-44,South
Biden,Female,Black,30-44,West
Biden,Female,White,30-44,West
Trump,Male,White,> 64,South
Trump,Male,Hispanic,30-44,Midwest
Trump,Male,White,18-29,Midwest
Trump,Male,White,> 64,NA
Trump,Female,White,> 64,South
Trump,Female,White,30-44,West
Trump,Female,White,30-44,South
Biden,Female,Black,30-44,Midwest
Trump,Female,White,> 64,West
Trump,Male,White,30-44,West
Biden,Female,Black,30-44,West
Biden,Female,White,> 64,NA
Biden,Female,Hispanic,30-44,NA
Biden,Female,White,30-44,South
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,South
Trump,Female,White,30-44,South
Trump,Female,White,30-44,NA
Trump,Female,White,30-44,West
Trump,Female,White,30-44,South
Trump,Female,White,> 64,West
Biden,Female,White,> 64,South
Biden,Female,White,30-44,South
Biden,Female,White,> 64,South
Trump,Male,White,30-44,South
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,South
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,Midwest
Biden,Female,White,30-44,South
Biden,Female,Black,30-44,West
Trump,Male,White,> 64,Midwest
Trump,Female,White,30-44,West
Trump,Female,White,> 64,South
Biden,Female,White,30-44,West
Biden,Female,White,30-44,Midwest
Trump,Female,White,> 64,West
Biden,Female,Black,30-44,West
Biden,Female,White,30-44,South
Trump,Male,Hispanic,30-44,West
Biden,Female,White,18-29,NA
Biden,Female,White,30-44,West
Biden,Male,White,30-44,South
Trump,Female,White,> 64,South
Biden,Female,Other,30-44,South
Biden,Female,Hispanic,> 64,Midwest
Biden,Male,White,> 64,Midwest
Trump,Female,Hispanic,30-44,NA
Biden,Male,White,30-44,NA
Biden,Female,White,> 64,West
Biden,Female,White,> 64,South
Trump,Female,White,30-44,West
Trump,Female,White,30-44,South
Trump,Female,White,> 64,Midwest
Trump,Male,White,30-44,South
Biden,Female,White,30-44,NA
Trump,Female,White,30-44,West
Biden,Female,Black,30-44,South
Biden,Male,Other,30-44,NA
Biden,Male,Hispanic,30-44,NA
Trump,Female,White,30-44,Midwest
Trump,Female,Hispanic,18-29,South
Trump,Male,White,> 64,NA
Biden,Male,White,30-44,South
Biden,Male,White,> 64,NA
Trump,Female,White,> 64,West
Trump,Female,White,18-29,South
Trump,Female,White,30-44,Midwest
Biden,Male,White,30-44,NA
Trump,Female,Asian,30-44,NA
Biden,Female,White,30-44,West
Trump,Female,White,30-44,South
Biden,Male,White,> 64,South
Biden,Female,White,30-44,South
Biden,Female,White,> 64,West
Trump,Male,White,> 64,South
Trump,Female,White,30-44,Midwest
Biden,Female,Black,30-44,South
Biden,Female,White,> 64,Midwest
Biden,Female,Asian,30-44,West
Biden,Female,White,> 64,South
Biden,Male,White,30-44,South
Biden,Female,White,30-44,South
Biden,Female,White,30-44,West
Biden,Male,Black,30-44,Midwest
Trump,Male,White,> 64,NA
Biden,Male,White,> 64,Midwest
Biden,Female,White,30-44,West
Trump,Male,White,30-44,West
Biden,Female,Asian,> 64,West
Biden,Female,White,30-44,West
Biden,Female,White,30-44,South
Biden,Male,White,30-44,West
Biden,Male,Hispanic,30-44,Midwest
Biden,Female,Black,> 64,South
Biden,Male,White,30-44,West
Trump,Male,White,> 64,West
Biden,Female,White,30-44,South
Trump,Female,White,30-44,South
Biden,Male,White,30-44,South
Trump,Female,White,> 64,West
Biden,Female,White,> 64,South
Biden,Female,White,30-44,Midwest
Trump,Female,White,> 64,NA
Biden,Female,White,30-44,West
Biden,Female,White,> 64,West
Biden,Female,Black,> 64,South
Biden,Female,White,30-44,Midwest
Biden,Female,Black,30-44,West
Trump,Male,Other,30-44,NA
Biden,Male,White,30-44,West
Trump,Male,White,30-44,South
Biden,Male,Asian,30-44,South
Biden,Male,White,30-44,Midwest
Trump,Female,White,30-44,West
Biden,Female,Hispanic,30-44,South
Biden,Female,White,30-44,South
Biden,Female,White,30-44,NA
Trump,Female,White,> 64,West
Trump,Female,White,30-44,NA
Trump,Male,White,30-44,West
Biden,Male,White,30-44,Midwest
Biden,Male,White,30-44,West
Trump,Male,White,30-44,NA
Trump,Female,White,> 64,NA
Biden,Female,White,> 64,Midwest
Trump,Male,White,30-44,South
Trump,Female,White,> 64,Midwest
Trump,Male,White,30-44,South
Trump,Male,White,30-44,West
Biden,Female,White,> 64,South
Biden,Female,Black,> 64,West
Biden,Female,White,> 64,South
Biden,Female,White,18-29,West
Biden,Female,White,18-29,NA
Biden,Female,White,> 64,South
Trump,Male,White,30-44,Midwest
Trump,Female,White,30-44,West
Biden,Male,White,30-44,South
Biden,Female,White,30-44,NA
Biden,Female,White,> 64,South
Biden,Female,White,> 64,South
Trump,Male,White,30-44,South
Biden,Female,Black,> 64,South
Trump,Female,White,> 64,West
Biden,Male,Asian,30-44,Midwest
Biden,Male,White,30-44,West
Trump,Male,White,30-44,NA
Biden,Male,White,30-44,South
Biden,Female,White,30-44,Midwest
Trump,Female,White,> 64,West
Biden,Female,White,30-44,West
Trump,Female,White,> 64,South
Biden,Male,White,30-44,NA
Trump,Female,White,30-44,Midwest
Biden,Male,White,> 64,West
Biden,Female,Hispanic,30-44,NA
Biden,Male,White,30-44,South
Trump,Male,White,30-44,Midwest
Biden,Female,White,18-29,South
Biden,Male,Hispanic,30-44,West
Biden,Male,White,30-44,NA
Trump,Female,White,30-44,West
Trump,Female,White,30-44,West
Biden,Female,White,18-29,South
Biden,Female,White,30-44,South
Biden,Female,White,30-44,West
Biden,Male,White,30-44,Midwest
Biden,Female,White,18-29,NA
Biden,Female,Other,> 64,South
Biden,Male,White,> 64,West
Trump,Male,White,> 64,South
Biden,Male,Other,30-44,South
Biden,Female,White,> 64,West
Trump,Male,White,> 64,West
Biden,Male,Hispanic,30-44,South
Biden,Male,White,30-44,South
Biden,Male,White,30-44,West
Biden,Male,White,> 64,West
Biden,Male,White,30-44,West
Biden,Male,White,30-44,West
Trump,Male,White,30-44,South
Biden,Female,White,30-44,NA
Biden,Male,White,30-44,South
Trump,Male,White,30-44,Midwest
Trump,Male,Hispanic,30-44,South
Biden,Female,Hispanic,30-44,West
Biden,Female,Black,30-44,West
Trump,Male,White,> 64,West
Biden,Male,White,30-44,South
Biden,Female,White,30-44,South
Biden,Male,White,18-29,South
Trump,Female,White,30-44,West
Trump,Female,White,30-44,South
Biden,Female,White,30-44,South
Trump,Male,White,> 64,West
Trump,Male,Black,30-44,NA
Trump,Female,White,30-44,Midwest
Biden,Female,Black,> 64,South
Biden,Male,White,30-44,South
Trump,Female,White,30-44,NA
Trump,Female,Black,30-44,South
Biden,Female,White,18-29,NA
Trump,Female,White,> 64,West
Biden,Female,White,30-44,Midwest
Biden,Female,Black,30-44,Midwest
Trump,Female,Hispanic,30-44,West
Trump,Male,Black,30-44,NA
Biden,Female,Hispanic,30-44,West
Biden,Female,Black,30-44,West
Biden,Female,White,30-44,NA
Trump,Male,White,30-44,West
Biden,Male,Black,30-44,West
